,ID,Mesto,Okres,Druh,Stav,Ulica,Vytah,Ener_cert,Uzit_plocha,Latitude,Longitude,Cena,Rok_vystavby,Podlazie,Pocet_nadzem_podlazi,Lodzia,Balkon,Garazove_statie,Kurenie,Garaz
1611,nehnutelnosti.sk_4108976,Bratislava I - Stare Mesto,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Namestie SNP,Ano,,76,48.1453107,17.1111114,293000,,3,,,,,,
1612,nehnutelnosti.sk_4136184,Bratislava II - Ruzinov,okres Bratislava,4 izbovy byt,Kompletná rekonštrukcia,Mesacna,Ano,,82,48.1633241,17.1659958,225000,,4,,,Ano,,,
1613,nehnutelnosti.sk_4240045,Bratislava III - Nove Mesto,okres Bratislava,2 izbovy byt,Novostavba,Tupeho,,,80,48.1638925,17.1167408,268000,,,,,Ano,,,
1614,nehnutelnosti.sk_4227798,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Mierova,Ano,,83,48.1497789,17.1694223,227000,,5,,,Ano,,,
1615,nehnutelnosti.sk_4215244,Bratislava II - Podunajske Biskupice,okres Bratislava,3 izbovy byt,Novostavba,Podunajska,Ano,,88,48.1431657,17.1989893,228500,2011,3,7,,Ano,,,
1616,nehnutelnosti.sk_4089217,Bratislava III - Nove Mesto,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Sunavcova,,,69,48.1636526,17.1222468,183000,,2,,,Ano,,,
1617,nehnutelnosti.sk_4150529,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Čiastočná rekonštrukcia,Furdekova,Ano,,70,48.1181093,17.1069707,177000,,4,6,Ano,,,,
1618,nehnutelnosti.sk_4190872,Bratislava V - Petrzalka,okres Bratislava,2 izbovy byt,Novostavba,Gercenova,Ano,,73,48.1264418,17.1004431,198000,,3,,,Ano,,,
1619,nehnutelnosti.sk_3997290,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Kompletná rekonštrukcia,Kosicka,,,75,48.1418888,17.1299412,238000,,4,,,Ano,,,
1620,nehnutelnosti.sk_4209840,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Kopcianska,Ano,,71,48.1134847,17.0924972,144000,,5,,,Ano,,,
